text,book
*بخش ۱*,bahram
چو بر تخت بنشست بهرام گور,bahram
برو آفرین کرد بهرام و هور,bahram
پرستش گرفت آفریننده را,bahram
جهاندار و بیدار و بیننده را,bahram
خداوند پیروزی و برتری,bahram
خداوند افزونی و کمتری,bahram
خداوند داد و خداوند رای,bahram
کزویست گیتی سراسر به پای,bahram
ازان پس چنین گفت کاین تاج و تخت,bahram
ازو یافتم کافریدست بخت,bahram
بدو هستم امید و هم زو هراس,bahram
وزو دارم از نیکویها سپاس,bahram
شما هم بدو نیز نازش کنید,bahram
بکوشید تا عهد او نشکنید,bahram
زبان برگشادند ایرانیان,bahram
که بستیم ما بندگی را میان,bahram
که این تاج بر شاه فرخنده باد,bahram
همیشه دل و بخت او زنده باد,bahram
وزان پس همه آفرین خواندند,bahram
همه بر سرش گوهر افشاندند,bahram
چنین گفت بهرام کای سرکشان,bahram
ز نیک و بد روز دیده نشان,bahram
همه بندگانیم و ایزد یکیست,bahram
پرستش جز او را سزاوار نیست,bahram
ز بد روز بی‌بیم داریمتان,bahram
به بدخواه حاجت نیاریمتان,bahram
بگفت این و از پیش برخاستند,bahram
برو آفرین نو آراستند,bahram
شب تیره بودند با گفت‌وگوی,bahram
چو خورشید بر چرخ بنمود روی,bahram
به آرام بنشست بر گاه شاه,bahram
برفتند ایرانیان بارخواه,bahram
چنین گفت بهرام با مهتران,bahram
که این نیکنامان و نیک‌اختران,bahram
به یزدان گراییم و رامش کنیم,bahram
بتازیم و دل زین جهان برکنیم,bahram
بگفت این و اسپ کیان خواستند,bahram
کیی بارگاهش بیاراستند,bahram
سه دیگر چو بنشست بر تخت گفت,bahram
که رسم پرستش نباید نهفت,bahram
به هستی یزدان گوایی دهیم,bahram
روان را بدین آشنایی دهیم,bahram
بهشتست و هم دوزخ و رستخیز,bahram
ز نیک و ز بد نیست راه گریز,bahram
کسی کو نگرود به روز شمار,bahram
مر او را تو بادین و دانا مدار,bahram
به روز چهارم چو بر تخت عاج,bahram
بسر بر نهاد آن پسندیده تاج,bahram
چنین گفت کز گنج من یک زمان,bahram
نیم شاد کز مردم شادمان,bahram
نیم خواستار سرای سپنج,bahram
نه از بازگشتن به تیمار و رنج,bahram
که آنست جاوید و این ره‌گذار,bahram
تو از آز پرهیز و انده مدار,bahram
به پنجم چنین گفت کز رنج کس,bahram
نیم شاد تا باشدم دست‌رس,bahram
به کوشش بجوییم خرم بهشت,bahram
خنک آنک جز تخم نیکی نکشت,bahram
ششم گفت بر مردم زیردست,bahram
مبادا که هرگز بجویم شکست,bahram
جهان را ز دشمن تن‌آسان کنیم,bahram
بداندیشگان را هراسان کنیم,bahram
به هفتم چو بنشست گفت ای مهان,bahram
خردمند و بیدار و دیده جهان,bahram
چو با مردم زفت زفتی کنیم,bahram
همی با خردمند جفتی کنیم,bahram
هرانکس که با ما نسازند گرم,bahram
بدی بیش ازان بیند او کز پدرم,bahram
هرانکس که فرمان ما برگزید,bahram
غم و درد و رنجش نباید کشید,bahram
به هشتم چو بنشست فرمود شاه,bahram
جوانوی را خواندن از بارگاه,bahram
بدو گفت نزدیک هر مهتری,bahram
به هر نامداری و هر کشوری,bahram
یکی نامه بنویس با مهر و داد,bahram
که بهرام بنشست بر تخت شاد,bahram
خداوند بخشایش و راستی,bahram
گریزنده از کژی و کاستی,bahram
که با فر و برزست و با مهر و داد,bahram
نگیرد جز از پاک دادار یاد,bahram
پذیرفتم آن را که فرمان برد,bahram
گناه آن سگالد که درمان برد؟,bahram
نشستم برین تخت فرخ پدر,bahram
بر آیین طهمورث دادگر,bahram
به داد از نیاکان فزونی کنم,bahram
شما را به دین رهنمونی کنم,bahram
جز از راستی نیست با هرکسی,bahram
اگر چند ازو کژی آید بسی,bahram
بران دین زردشت پیغمبرم,bahram
ز راه نیاکان خود نگذرم,bahram
نهم گفت زردشت پیشین بروی,bahram
به راهیم پیغمبر راست‌گوی,bahram
همه پادشاهید بر چیز خویش,bahram
نگهبان مرز و نگهبان کیش,bahram
به فرزند و زن نیز هم پادشا,bahram
خنک مردم زیرک و پارسا,bahram
نخواهیم آگندن زر به گنج,bahram
که از گنج درویش ماند به رنج,bahram
گر ایزد مرا زندگانی دهد,bahram
برین اختران کامرانی دهد,bahram
یکی رامشی نامه خوانید نیز,bahram
کزان جاودان ارج یابید و چیز,bahram
ز ما بر همه پادشاهی درود,bahram
به ویژه که مهرش بود تار و پود,bahram
نهادند بر نامه‌ها بر نگین,bahram
فرستادگان خواست با آفرین,bahram
برفتند با نامه‌ها موبدان,bahram
سواران بینادل و بخردان,bahram
*بخش ۲*,bahram
دگر روز چون بردمید آفتاب,bahram
ببالید کوه و بپالود خواب,bahram
به نزدیک منذر شدند این گروه,bahram
که بهرام شه بود زیشان ستوه,bahram
